subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
131	1	1	13	bathroom	sun_aavhrsfjbserjtht.tif	1024605.850221	1024606.108814	1024606.849195	7.507944e-01	3	none	NaN	NaN
131	1	2	49	bathroom	sun_asfwthctfqerjvxr.tif	1024607.618638	1024607.877224	1024608.617501	8.425582e-01	39	none	NaN	NaN
131	1	3	25	bathroom	sun_agyqfjcfkdcydepw.tif	1024609.387058	1024609.645652	1024610.385847	6.590306e-01	15	39	1024613.502424	1
131	1	4	38	bathroom	sun_anhioqovhscjqqwb.tif	1024614.275236	1024614.533830	1024615.274160	7.841630e-01	28	none	NaN	NaN
131	1	5	37	bathroom	sun_amzlamotzwfkwjco.tif	1024616.052024	1024616.310592	1024617.051007	7.174258e-01	27	none	NaN	NaN
131	1	6	16	bathroom	sun_acduarbnmmoglmiv.tif	1024617.820422	1024618.079011	1024618.819237	6.923993e-01	6	none	NaN	NaN
131	1	7	41	bathroom	sun_aoybiabnpadelefl.tif	1024619.588843	1024619.847438	1024620.587720	6.923993e-01	31	39	1024622.206283	1
131	1	8	55	bathroom	sun_avhrdrntsqrjzccq.tif	1024622.983881	1024623.242470	1024623.982818	6.923993e-01	45	none	NaN	NaN
131	1	9	60	bathroom	sun_azqyogdvyhahyram.tif	1024624.752299	1024625.010883	1024625.751036	7.424522e-01	50	37	1024626.774337	1
131	1	10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	1024627.546732	1024627.805325	1024628.545643	7.341101e-01	19	none	NaN	NaN
131	1	11	15	bathroom	sun_abjtwfukuwddzted.tif	1024629.315158	1024629.573752	1024630.314065	8.342160e-01	5	37	1024631.478508	1
131	1	12	39	bathroom	sun_anryaplzeujmzfkd.tif	1024632.251397	1024632.509989	1024633.250209	6.757150e-01	29	none	NaN	NaN
131	1	13	17	bathroom	sun_acegryoqftbzowsg.tif	1024634.019820	1024634.278413	1024635.018554	8.091895e-01	7	none	NaN	NaN
131	1	14	30	bathroom	sun_ajlawzvmubibwbpy.tif	1024635.788239	1024636.046832	1024636.787092	8.175317e-01	20	none	NaN	NaN
131	1	15	23	bathroom	sun_aghyqhbptboemmoq.tif	1024637.556664	1024637.815245	1024638.555579	7.841630e-01	13	none	NaN	NaN
131	1	16	53	bathroom	sun_ausgutylgojavyoq.tif	1024639.325081	1024639.583670	1024640.324036	7.507944e-01	43	none	NaN	NaN
131	1	17	59	bathroom	sun_axyrejkiiaqiurjk.tif	1024641.093503	1024641.352094	1024642.092226	7.424522e-01	49	none	NaN	NaN
131	1	18	58	bathroom	sun_axxbkopsgyouuebh.tif	1024642.853582	1024643.112171	1024643.852527	7.341101e-01	48	none	NaN	NaN
131	1	19	14	bathroom	sun_abapwbhyhkfixyex.tif	1024644.621999	1024644.880590	1024645.620890	7.090836e-01	4	none	NaN	NaN
131	1	20	33	bathroom	sun_aljolscmmzydegqp.tif	1024646.390422	1024646.649013	1024647.389373	6.923993e-01	23	none	NaN	NaN
131	1	21	46	bathroom	sun_apmqjbnwghzuhhzh.tif	1024648.158843	1024648.417430	1024649.157766	7.341101e-01	36	39	1024650.030436	1
131	1	22	18	bathroom	sun_acgyywnybuveqsro.tif	1024650.803133	1024651.061721	1024651.801944	6.757150e-01	8	none	NaN	NaN
131	1	23	19	bathroom	sun_aclfzgynxzxlbepz.tif	1024652.571550	1024652.830141	1024653.570401	7.758209e-01	9	none	NaN	NaN
131	1	24	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1024654.339972	1024654.598561	1024655.338834	6.673728e-01	1	39	1024656.773987	1
131	1	25	27	bathroom	sun_ahcvzmoyaycdoftf.tif	1024657.551488	1024657.810083	1024658.550405	8.258738e-01	17	none	NaN	NaN
131	1	26	21	bathroom	sun_aggnnqpdorgxpvce.tif	1024659.319911	1024659.578497	1024660.318623	7.591366e-01	11	none	NaN	NaN
131	1	27	42	bathroom	sun_apeeialkgkuxddgh.tif	1024661.088330	1024661.346922	1024662.087202	7.591366e-01	32	none	NaN	NaN
131	1	28	56	bathroom	sun_awnqiikzaispgmwo.tif	1024662.856748	1024663.115335	1024663.855561	8.175317e-01	46	none	NaN	NaN
131	1	29	44	bathroom	sun_apkruvsevgegsdwp.tif	1024664.625168	1024664.883761	1024665.623881	7.424522e-01	34	none	NaN	NaN
131	1	30	20	bathroom	sun_afcoljnjfoxjtgja.tif	1024666.393590	1024666.652187	1024667.392488	7.174258e-01	10	none	NaN	NaN
