subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
122	1	1	14	bathroom	sun_abapwbhyhkfixyex.tif	1102444.551615	1102444.818540	1102445.491883	6.922354e-01	4	none	NaN	NaN
122	1	2	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1102446.261635	1102446.520227	1102447.201889	7.172560e-01	1	none	NaN	NaN
122	1	3	16	bathroom	sun_acduarbnmmoglmiv.tif	1102447.971668	1102448.230256	1102448.911962	7.839775e-01	6	37	1102450.680328	1
122	1	4	21	bathroom	sun_aggnnqpdorgxpvce.tif	1102451.458453	1102451.717038	1102452.398890	8.256784e-01	11	none	NaN	NaN
122	1	5	23	bathroom	sun_aghyqhbptboemmoq.tif	1102453.168487	1102453.427065	1102454.108863	8.506990e-01	13	39	1102455.488191	1
122	1	6	38	bathroom	sun_anhioqovhscjqqwb.tif	1102456.263213	1102456.521803	1102457.203542	7.422766e-01	28	none	NaN	NaN
122	1	7	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	1102457.973239	1102458.231829	1102458.913582	8.089980e-01	14	none	NaN	NaN
122	1	8	15	bathroom	sun_abjtwfukuwddzted.tif	1102459.683267	1102459.941856	1102460.623485	6.505345e-01	5	none	NaN	NaN
122	1	9	44	bathroom	sun_apkruvsevgegsdwp.tif	1102461.384953	1102461.643545	1102462.325301	7.589569e-01	34	39	1102463.168279	1
122	1	10	48	bathroom	sun_aqrpegblszgcoujh.tif	1102463.945821	1102464.204412	1102464.886198	6.755551e-01	38	none	NaN	NaN
