subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
122	1	1	13	bathroom	sun_aavhrsfjbserjtht.tif	1103290.105897	1103290.364487	1103291.104605	7.506792e-01	3	none	NaN	NaN
122	1	2	49	bathroom	sun_asfwthctfqerjvxr.tif	1103291.874318	1103292.132903	1103292.872923	8.424289e-01	39	none	NaN	NaN
122	1	3	25	bathroom	sun_agyqfjcfkdcydepw.tif	1103293.634392	1103293.892977	1103294.633091	6.589295e-01	15	39	1103295.792215	1
122	1	4	38	bathroom	sun_anhioqovhscjqqwb.tif	1103296.570634	1103296.829222	1103297.569360	7.840427e-01	28	none	NaN	NaN
122	1	5	37	bathroom	sun_amzlamotzwfkwjco.tif	1103298.347391	1103298.605979	1103299.346122	7.173157e-01	27	none	NaN	NaN
122	1	6	16	bathroom	sun_acduarbnmmoglmiv.tif	1103300.115812	1103300.374403	1103301.114507	6.922930e-01	6	none	NaN	NaN
122	1	7	41	bathroom	sun_aoybiabnpadelefl.tif	1103301.884233	1103302.142819	1103302.882865	6.922930e-01	31	39	1103303.584185	1
122	1	8	55	bathroom	sun_avhrdrntsqrjzccq.tif	1103304.361687	1103304.620273	1103305.360499	6.922930e-01	45	none	NaN	NaN
122	1	9	60	bathroom	sun_azqyogdvyhahyram.tif	1103306.130108	1103306.388694	1103307.128906	7.423383e-01	50	37	1103308.456167	1
122	1	10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	1103309.233198	1103309.491768	1103310.231877	7.339974e-01	19	none	NaN	NaN
122	1	11	15	bathroom	sun_abjtwfukuwddzted.tif	1103311.001596	1103311.260190	1103312.000513	8.340880e-01	5	37	1103312.856831	1
122	1	12	39	bathroom	sun_anryaplzeujmzfkd.tif	1103313.629202	1103313.887790	1103314.627987	6.756113e-01	29	none	NaN	NaN
122	1	13	17	bathroom	sun_acegryoqftbzowsg.tif	1103315.397616	1103315.656207	1103316.396318	8.090654e-01	7	none	NaN	NaN
122	1	14	30	bathroom	sun_ajlawzvmubibwbpy.tif	1103317.166035	1103317.424623	1103318.164750	8.174062e-01	20	none	NaN	NaN
122	1	15	23	bathroom	sun_aghyqhbptboemmoq.tif	1103318.934458	1103319.193042	1103319.933122	7.840427e-01	13	none	NaN	NaN
122	1	16	53	bathroom	sun_ausgutylgojavyoq.tif	1103320.702873	1103320.961463	1103321.701675	7.506792e-01	43	none	NaN	NaN
122	1	17	59	bathroom	sun_axyrejkiiaqiurjk.tif	1103322.471293	1103322.729879	1103323.470142	7.423383e-01	49	none	NaN	NaN
122	1	18	58	bathroom	sun_axxbkopsgyouuebh.tif	1103324.239714	1103324.498296	1103325.238341	7.339974e-01	48	none	NaN	NaN
122	1	19	14	bathroom	sun_abapwbhyhkfixyex.tif	1103326.008128	1103326.266718	1103327.006756	7.089748e-01	4	none	NaN	NaN
122	1	20	33	bathroom	sun_aljolscmmzydegqp.tif	1103327.768209	1103328.026794	1103328.766834	6.922930e-01	23	none	NaN	NaN
122	1	21	46	bathroom	sun_apmqjbnwghzuhhzh.tif	1103329.536625	1103329.795212	1103330.535398	7.339974e-01	36	39	1103331.368259	1
122	1	22	18	bathroom	sun_acgyywnybuveqsro.tif	1103332.139202	1103332.397794	1103333.137843	6.756113e-01	8	none	NaN	NaN
122	1	23	19	bathroom	sun_aclfzgynxzxlbepz.tif	1103333.899279	1103334.157867	1103334.898047	7.757018e-01	9	none	NaN	NaN
122	1	24	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1103335.667700	1103335.926288	1103336.666503	6.672704e-01	1	39	1103337.648143	1
122	1	25	27	bathroom	sun_ahcvzmoyaycdoftf.tif	1103338.420427	1103338.679014	1103339.419132	8.257471e-01	17	none	NaN	NaN
122	1	26	21	bathroom	sun_aggnnqpdorgxpvce.tif	1103340.188844	1103340.447432	1103341.187510	7.590201e-01	11	none	NaN	NaN
122	1	27	42	bathroom	sun_apeeialkgkuxddgh.tif	1103341.957260	1103342.215849	1103342.956070	7.590201e-01	32	none	NaN	NaN
122	1	28	56	bathroom	sun_awnqiikzaispgmwo.tif	1103343.725682	1103343.984266	1103344.724458	8.174062e-01	46	none	NaN	NaN
122	1	29	44	bathroom	sun_apkruvsevgegsdwp.tif	1103345.494102	1103345.752684	1103346.492725	7.423383e-01	34	none	NaN	NaN
122	1	30	20	bathroom	sun_afcoljnjfoxjtgja.tif	1103347.254173	1103347.512764	1103348.252814	7.173157e-01	10	none	NaN	NaN
122	1	31	28	bathroom	sun_ahijqszoswveeyji.tif	1103349.022595	1103349.281185	1103350.021332	8.424289e-01	18	none	NaN	NaN
122	1	32	26	bathroom	sun_ahaulkltgpkeeemi.tif	1103350.791013	1103351.049603	1103351.789624	7.673610e-01	16	none	NaN	NaN
122	1	33	22	bathroom	sun_agguqiubmwhqqunb.tif	1103352.551089	1103352.809680	1103353.549917	7.006339e-01	12	none	NaN	NaN
122	1	34	47	bathroom	sun_apynckhmoftszqoq.tif	1103354.319503	1103354.578099	1103355.318298	7.590201e-01	37	none	NaN	NaN
122	1	35	45	bathroom	sun_apkxzenqapsujocq.tif	1103356.087930	1103356.346514	1103357.086552	8.174062e-01	35	none	NaN	NaN
122	1	36	34	bathroom	sun_alkosphxlxwjwgjd.tif	1103357.848032	1103358.106592	1103358.846839	8.340880e-01	24	none	NaN	NaN
122	1	37	12	bathroom	sun_aapitsgbtktqubfy.tif	1103359.616419	1103359.875011	1103360.615217	8.090654e-01	2	none	NaN	NaN
122	1	38	52	bathroom	sun_aunuadmjocsddsrl.tif	1103361.384838	1103361.643431	1103362.383552	7.089748e-01	42	none	NaN	NaN
122	1	39	50	bathroom	sun_aspsyogrekjtfozg.tif	1103363.153258	1103363.411855	1103364.151927	7.923836e-01	40	none	NaN	NaN
122	1	40	54	bathroom	sun_auzqhkafidnkrwmo.tif	1103364.921677	1103365.180266	1103365.920493	6.505886e-01	44	none	NaN	NaN
122	1	41	31	bathroom	sun_akiytfaagpdsphgz.tif	1103366.690099	1103366.948685	1103367.688815	6.589295e-01	21	39	1103368.504312	1
122	1	42	48	bathroom	sun_aqrpegblszgcoujh.tif	1103369.275996	1103369.534578	1103370.274771	8.090654e-01	38	none	NaN	NaN
122	1	43	35	bathroom	sun_alotolagknyrgtsk.tif	1103371.044408	1103371.302999	1103372.043205	8.007245e-01	25	none	NaN	NaN
122	1	44	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	1103372.812826	1103373.071416	1103373.811451	7.256566e-01	14	none	NaN	NaN
122	1	45	40	bathroom	sun_aofnryafpsjimzsb.tif	1103374.581242	1103374.839834	1103375.580012	7.840427e-01	30	none	NaN	NaN
122	1	46	36	bathroom	sun_ambriybtogmepttm.tif	1103376.349664	1103376.608251	1103377.348281	7.757018e-01	26	none	NaN	NaN
122	1	47	57	bathroom	sun_axldvoqbuvuggfmq.tif	1103378.109739	1103378.368332	1103379.108536	8.257471e-01	47	none	NaN	NaN
122	1	48	43	bathroom	sun_apjevzvycyhuqghb.tif	1103379.878157	1103380.136749	1103380.876940	6.505886e-01	33	none	NaN	NaN
