subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
115	1	1	13	bathroom	sun_aavhrsfjbserjtht.tif	320083.770667	320084.029252	320084.769469	7.507053e-01	3	none	NaN	NaN
115	1	2	49	bathroom	sun_asfwthctfqerjvxr.tif	320085.539081	320085.797670	320086.537925	8.424582e-01	39	none	NaN	NaN
115	1	3	25	bathroom	sun_agyqfjcfkdcydepw.tif	320087.307497	320087.566091	320088.306205	6.589524e-01	15	39	320091.813968	1
115	1	4	38	bathroom	sun_anhioqovhscjqqwb.tif	320092.587727	320092.846318	320093.586433	7.840700e-01	28	none	NaN	NaN
115	1	5	37	bathroom	sun_amzlamotzwfkwjco.tif	320094.364491	320094.623084	320095.363277	7.173406e-01	27	none	NaN	NaN
115	1	6	16	bathroom	sun_acduarbnmmoglmiv.tif	320096.132908	320096.391491	320097.131658	6.923171e-01	6	none	NaN	NaN
115	1	7	41	bathroom	sun_aoybiabnpadelefl.tif	320097.901327	320098.159913	320098.900172	6.923171e-01	31	39	320101.246210	1
115	1	8	55	bathroom	sun_avhrdrntsqrjzccq.tif	320102.022079	320102.280666	320103.020858	6.923171e-01	45	none	NaN	NaN
115	1	9	60	bathroom	sun_azqyogdvyhahyram.tif	320103.790495	320104.049081	320104.789277	7.423641e-01	50	37	320106.134138	1
115	1	10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	320106.910250	320107.168839	320107.908992	7.340230e-01	19	none	NaN	NaN
115	1	11	15	bathroom	sun_abjtwfukuwddzted.tif	320108.678672	320108.937254	320109.677330	8.341170e-01	5	37	320110.718094	1
115	1	12	39	bathroom	sun_anryaplzeujmzfkd.tif	320111.489782	320111.748374	320112.488505	6.756348e-01	29	none	NaN	NaN
115	1	13	17	bathroom	sun_acegryoqftbzowsg.tif	320113.258203	320113.516797	320114.257011	8.090935e-01	7	none	NaN	NaN
115	1	14	30	bathroom	sun_ajlawzvmubibwbpy.tif	320115.026623	320115.285212	320116.025412	8.174347e-01	20	none	NaN	NaN
115	1	15	23	bathroom	sun_aghyqhbptboemmoq.tif	320116.795038	320117.053633	320117.793798	7.840700e-01	13	none	NaN	NaN
