subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
128	1	1	14	bathroom	sun_abapwbhyhkfixyex.tif	1928421.101892	1928421.360484	1928422.042163	6.922255e-01	4	none	NaN	NaN
128	1	2	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1928422.811915	1928423.070513	1928423.752238	7.172457e-01	1	none	NaN	NaN
128	1	3	16	bathroom	sun_acduarbnmmoglmiv.tif	1928424.521951	1928424.780538	1928425.462156	7.839662e-01	6	37	1928428.651815	1
128	1	4	21	bathroom	sun_aggnnqpdorgxpvce.tif	1928429.426808	1928429.685398	1928430.367102	8.256665e-01	11	none	NaN	NaN
128	1	5	23	bathroom	sun_aghyqhbptboemmoq.tif	1928431.145175	1928431.403765	1928432.085630	8.506867e-01	13	39	1928433.755825	1
128	1	6	38	bathroom	sun_anhioqovhscjqqwb.tif	1928434.531865	1928434.790450	1928435.472040	7.422659e-01	28	none	NaN	NaN
128	1	7	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	1928436.241888	1928436.500480	1928437.182038	8.089864e-01	14	none	NaN	NaN
128	1	8	15	bathroom	sun_abjtwfukuwddzted.tif	1928437.943579	1928438.202164	1928438.883905	6.505251e-01	5	none	NaN	NaN
128	1	9	44	bathroom	sun_apkruvsevgegsdwp.tif	1928439.653605	1928439.912191	1928440.593985	7.589460e-01	34	39	1928443.851848	1
128	1	10	48	bathroom	sun_aqrpegblszgcoujh.tif	1928444.625197	1928444.883787	1928445.565441	6.755453e-01	38	none	NaN	NaN
