subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
103	1	1	13	bathroom	sun_aavhrsfjbserjtht.tif	1376709.068497	1376709.327075	1376710.067301	7.507732e-01	3	none	NaN	NaN
103	1	2	49	bathroom	sun_asfwthctfqerjvxr.tif	1376710.836905	1376711.095501	1376711.835806	8.425343e-01	39	none	NaN	NaN
103	1	3	25	bathroom	sun_agyqfjcfkdcydepw.tif	1376712.605329	1376712.863912	1376713.604103	6.590120e-01	15	39	1376714.977257	1
103	1	4	38	bathroom	sun_anhioqovhscjqqwb.tif	1376715.750110	1376716.008698	1376716.748934	7.841409e-01	28	none	NaN	NaN
103	1	5	37	bathroom	sun_amzlamotzwfkwjco.tif	1376717.518533	1376717.777122	1376718.517236	7.174055e-01	27	none	NaN	NaN
103	1	6	16	bathroom	sun_acduarbnmmoglmiv.tif	1376719.286947	1376719.545534	1376720.285766	6.923797e-01	6	none	NaN	NaN
103	1	7	41	bathroom	sun_aoybiabnpadelefl.tif	1376721.055362	1376721.313953	1376722.054061	6.923797e-01	31	39	1376722.912011	1
103	1	8	55	bathroom	sun_avhrdrntsqrjzccq.tif	1376723.691312	1376723.949898	1376724.690008	6.923797e-01	45	none	NaN	NaN
103	1	9	60	bathroom	sun_azqyogdvyhahyram.tif	1376725.459725	1376725.718317	1376726.458434	7.424312e-01	50	39	1376727.736005	0
103	1	10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	1376728.512751	1376728.771338	1376729.511465	7.340893e-01	19	none	NaN	NaN
103	1	11	15	bathroom	sun_abjtwfukuwddzted.tif	1376730.281171	1376730.539757	1376731.280058	8.341924e-01	5	37	1376732.151876	1
103	1	12	39	bathroom	sun_anryaplzeujmzfkd.tif	1376732.925481	1376733.184042	1376733.924226	6.756958e-01	29	none	NaN	NaN
103	1	13	17	bathroom	sun_acegryoqftbzowsg.tif	1376734.693878	1376734.952463	1376735.692592	8.091666e-01	7	none	NaN	NaN
103	1	14	30	bathroom	sun_ajlawzvmubibwbpy.tif	1376736.462293	1376736.720875	1376737.461066	8.175086e-01	20	none	NaN	NaN
103	1	15	23	bathroom	sun_aghyqhbptboemmoq.tif	1376738.230713	1376738.489302	1376739.229539	7.841409e-01	13	none	NaN	NaN
103	1	16	53	bathroom	sun_ausgutylgojavyoq.tif	1376739.999127	1376740.257720	1376740.997896	7.507732e-01	43	none	NaN	NaN
103	1	17	59	bathroom	sun_axyrejkiiaqiurjk.tif	1376741.767547	1376742.026141	1376742.766290	7.424312e-01	49	none	NaN	NaN
103	1	18	58	bathroom	sun_axxbkopsgyouuebh.tif	1376743.535964	1376743.794551	1376744.534689	7.340893e-01	48	none	NaN	NaN
103	1	19	14	bathroom	sun_abapwbhyhkfixyex.tif	1376745.304384	1376745.562974	1376746.303242	7.090635e-01	4	none	NaN	NaN
103	1	20	33	bathroom	sun_aljolscmmzydegqp.tif	1376747.072807	1376747.331389	1376748.071662	6.923797e-01	23	none	NaN	NaN
103	1	21	46	bathroom	sun_apmqjbnwghzuhhzh.tif	1376748.841216	1376749.099813	1376749.840029	7.340893e-01	36	39	1376750.656057	1
103	1	22	18	bathroom	sun_acgyywnybuveqsro.tif	1376751.427119	1376751.685704	1376752.425824	6.756958e-01	8	none	NaN	NaN
103	1	23	19	bathroom	sun_aclfzgynxzxlbepz.tif	1376753.195533	1376753.454119	1376754.194350	7.757989e-01	9	none	NaN	NaN
103	1	24	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1376754.963950	1376755.222542	1376755.962642	6.673539e-01	1	39	1376756.687983	1
103	1	25	27	bathroom	sun_ahcvzmoyaycdoftf.tif	1376757.466428	1376757.725015	1376758.465184	8.258505e-01	17	none	NaN	NaN
103	1	26	21	bathroom	sun_aggnnqpdorgxpvce.tif	1376759.234853	1376759.493437	1376760.233659	7.591151e-01	11	none	NaN	NaN
103	1	27	42	bathroom	sun_apeeialkgkuxddgh.tif	1376761.003266	1376761.261861	1376762.002164	7.591151e-01	32	none	NaN	NaN
103	1	28	56	bathroom	sun_awnqiikzaispgmwo.tif	1376762.771686	1376763.030271	1376763.770489	8.175086e-01	46	none	NaN	NaN
103	1	29	44	bathroom	sun_apkruvsevgegsdwp.tif	1376764.540104	1376764.798690	1376765.538931	7.424312e-01	34	none	NaN	NaN
103	1	30	20	bathroom	sun_afcoljnjfoxjtgja.tif	1376766.308524	1376766.567117	1376767.307326	7.174055e-01	10	none	NaN	NaN
103	1	31	28	bathroom	sun_ahijqszoswveeyji.tif	1376768.076941	1376768.335531	1376769.075665	8.425343e-01	18	none	NaN	NaN
103	1	32	26	bathroom	sun_ahaulkltgpkeeemi.tif	1376769.845356	1376770.103943	1376770.844148	7.674570e-01	16	none	NaN	NaN
103	1	33	22	bathroom	sun_agguqiubmwhqqunb.tif	1376771.613776	1376771.872362	1376772.612503	6.923797e-01	12	none	NaN	NaN
103	1	34	47	bathroom	sun_apynckhmoftszqoq.tif	1376773.382193	1376773.640783	1376774.380930	7.591151e-01	37	none	NaN	NaN
103	1	35	45	bathroom	sun_apkxzenqapsujocq.tif	1376775.150616	1376775.409202	1376776.149310	8.175086e-01	35	none	NaN	NaN
103	1	36	34	bathroom	sun_alkosphxlxwjwgjd.tif	1376776.919031	1376777.177619	1376777.917940	8.341924e-01	24	none	NaN	NaN
103	1	37	12	bathroom	sun_aapitsgbtktqubfy.tif	1376778.687451	1376778.946035	1376779.686289	8.091666e-01	2	none	NaN	NaN
103	1	38	52	bathroom	sun_aunuadmjocsddsrl.tif	1376780.455870	1376780.714459	1376781.454600	7.090635e-01	42	none	NaN	NaN
103	1	39	50	bathroom	sun_aspsyogrekjtfozg.tif	1376782.224284	1376782.482875	1376783.222984	7.924828e-01	40	none	NaN	NaN
103	1	40	54	bathroom	sun_auzqhkafidnkrwmo.tif	1376783.992705	1376784.251295	1376784.991421	6.506701e-01	44	none	NaN	NaN
103	1	41	31	bathroom	sun_akiytfaagpdsphgz.tif	1376785.761121	1376786.019712	1376786.759850	6.590120e-01	21	39	1376789.015915	1
103	1	42	48	bathroom	sun_aqrpegblszgcoujh.tif	1376789.790111	1376790.048701	1376790.788881	8.091666e-01	38	none	NaN	NaN
103	1	43	35	bathroom	sun_alotolagknyrgtsk.tif	1376791.558533	1376791.817122	1376792.557382	8.008247e-01	25	none	NaN	NaN
103	1	44	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	1376793.326949	1376793.585538	1376794.325744	7.257474e-01	14	none	NaN	NaN
103	1	45	40	bathroom	sun_aofnryafpsjimzsb.tif	1376795.095365	1376795.353952	1376796.094262	7.841409e-01	30	none	NaN	NaN
103	1	46	36	bathroom	sun_ambriybtogmepttm.tif	1376796.863784	1376797.122376	1376797.862659	7.757989e-01	26	none	NaN	NaN
103	1	47	57	bathroom	sun_axldvoqbuvuggfmq.tif	1376798.632206	1376798.890793	1376799.630904	8.258505e-01	47	none	NaN	NaN
103	1	48	43	bathroom	sun_apjevzvycyhuqghb.tif	1376800.400624	1376800.659211	1376801.399465	6.506701e-01	33	none	NaN	NaN
103	1	49	32	bathroom	sun_aleqenyvunhactkl.tif	1376802.169039	1376802.427628	1376803.169018	7.007216e-01	22	none	NaN	NaN
103	1	50	51	bathroom	sun_atstyziqcmkahyxk.tif	1376803.937455	1376804.196049	1376804.936312	8.008247e-01	41	none	NaN	NaN
103	1	51	59	bathroom	sun_axyrejkiiaqiurjk.tif	1376805.705877	1376805.964462	1376806.704631	7.007216e-01	49	none	NaN	NaN
103	1	52	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1376807.474296	1376807.732885	1376808.473076	7.340893e-01	1	none	NaN	NaN
103	1	53	25	bathroom	sun_agyqfjcfkdcydepw.tif	1376809.242714	1376809.501304	1376810.241438	7.507732e-01	15	none	NaN	NaN
103	1	54	16	bathroom	sun_acduarbnmmoglmiv.tif	1376811.011131	1376811.269721	1376812.009913	7.174055e-01	6	none	NaN	NaN
103	1	55	21	bathroom	sun_aggnnqpdorgxpvce.tif	1376812.779548	1376813.038142	1376813.778434	7.591151e-01	11	none	NaN	NaN
103	1	56	51	bathroom	sun_atstyziqcmkahyxk.tif	1376814.547972	1376814.806557	1376815.546666	7.924828e-01	41	none	NaN	NaN
103	1	57	32	bathroom	sun_aleqenyvunhactkl.tif	1376816.316390	1376816.574975	1376817.315089	7.924828e-01	22	none	NaN	NaN
103	1	58	33	bathroom	sun_aljolscmmzydegqp.tif	1376818.084803	1376818.343395	1376819.083566	7.674570e-01	23	none	NaN	NaN
103	1	59	18	bathroom	sun_acgyywnybuveqsro.tif	1376819.853225	1376820.111809	1376820.852126	7.090635e-01	8	none	NaN	NaN
103	1	60	36	bathroom	sun_ambriybtogmepttm.tif	1376821.621641	1376821.880232	1376822.620447	7.841409e-01	26	none	NaN	NaN
103	1	61	13	bathroom	sun_aavhrsfjbserjtht.tif	1376823.390060	1376823.648650	1376824.388810	8.508762e-01	3	none	NaN	NaN
103	1	62	56	bathroom	sun_awnqiikzaispgmwo.tif	1376825.158482	1376825.417063	1376826.157390	7.757989e-01	46	37	1376827.095651	0
103	1	63	14	bathroom	sun_abapwbhyhkfixyex.tif	1376827.869493	1376828.128084	1376828.868321	6.590120e-01	4	none	NaN	NaN
103	1	64	45	bathroom	sun_apkxzenqapsujocq.tif	1376829.637915	1376829.896507	1376830.636673	8.091666e-01	35	none	NaN	NaN
103	1	65	38	bathroom	sun_anhioqovhscjqqwb.tif	1376831.406334	1376831.664921	1376832.405201	8.258505e-01	28	37	1376833.191951	1
103	1	66	44	bathroom	sun_apkruvsevgegsdwp.tif	1376833.967204	1376834.225790	1376834.965964	8.008247e-01	34	37	1376836.471976	1
103	1	67	35	bathroom	sun_alotolagknyrgtsk.tif	1376837.245447	1376837.504032	1376838.244248	6.673539e-01	25	none	NaN	NaN
103	1	68	55	bathroom	sun_avhrdrntsqrjzccq.tif	1376839.013864	1376839.272458	1376840.012714	6.756958e-01	45	39	1376841.655915	1
103	1	69	22	bathroom	sun_agguqiubmwhqqunb.tif	1376842.433920	1376842.692512	1376843.432820	6.840378e-01	12	none	NaN	NaN
103	1	70	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	1376844.202339	1376844.460930	1376845.201094	7.424312e-01	14	none	NaN	NaN
103	1	71	47	bathroom	sun_apynckhmoftszqoq.tif	1376845.970760	1376846.229337	1376846.969521	8.341924e-01	37	none	NaN	NaN
103	1	72	53	bathroom	sun_ausgutylgojavyoq.tif	1376847.739177	1376847.997763	1376848.737955	7.591151e-01	43	none	NaN	NaN
103	1	73	15	bathroom	sun_abjtwfukuwddzted.tif	1376849.507591	1376849.766179	1376850.506483	8.008247e-01	5	none	NaN	NaN
103	1	74	28	bathroom	sun_ahijqszoswveeyji.tif	1376851.276010	1376851.534599	1376852.274922	7.257474e-01	18	none	NaN	NaN
103	1	75	26	bathroom	sun_ahaulkltgpkeeemi.tif	1376853.044430	1376853.303022	1376854.043344	8.175086e-01	16	37	1376855.007991	1
103	1	76	58	bathroom	sun_axxbkopsgyouuebh.tif	1376855.780478	1376856.039062	1376856.779277	6.840378e-01	48	none	NaN	NaN
103	1	77	17	bathroom	sun_acegryoqftbzowsg.tif	1376857.548892	1376857.807481	1376858.547763	6.840378e-01	7	37	1376859.624002	1
103	1	78	54	bathroom	sun_auzqhkafidnkrwmo.tif	1376860.401715	1376860.660303	1376861.400514	8.341924e-01	44	none	NaN	NaN
103	1	79	30	bathroom	sun_ajlawzvmubibwbpy.tif	1376862.170133	1376862.428725	1376863.168836	7.174055e-01	20	none	NaN	NaN
103	1	80	19	bathroom	sun_aclfzgynxzxlbepz.tif	1376863.938552	1376864.197142	1376864.937392	8.258505e-01	9	none	NaN	NaN
103	1	81	60	bathroom	sun_azqyogdvyhahyram.tif	1376865.706968	1376865.965563	1376866.705779	7.257474e-01	50	none	NaN	NaN
103	1	82	50	bathroom	sun_aspsyogrekjtfozg.tif	1376867.475388	1376867.733976	1376868.474121	7.757989e-01	40	none	NaN	NaN
103	1	83	42	bathroom	sun_apeeialkgkuxddgh.tif	1376869.243805	1376869.502398	1376870.242712	7.007216e-01	32	none	NaN	NaN
103	1	84	49	bathroom	sun_asfwthctfqerjvxr.tif	1376871.012225	1376871.270817	1376872.011089	7.674570e-01	39	none	NaN	NaN
103	1	85	27	bathroom	sun_ahcvzmoyaycdoftf.tif	1376872.780645	1376873.039237	1376873.779547	7.007216e-01	17	none	NaN	NaN
103	1	86	12	bathroom	sun_aapitsgbtktqubfy.tif	1376874.549063	1376874.807651	1376875.547822	7.257474e-01	2	none	NaN	NaN
103	1	87	23	bathroom	sun_aghyqhbptboemmoq.tif	1376876.317485	1376876.576072	1376877.316370	6.506701e-01	13	39	1376878.464061	1
103	1	88	20	bathroom	sun_afcoljnjfoxjtgja.tif	1376879.237042	1376879.495629	1376880.235877	8.425343e-01	10	none	NaN	NaN
103	1	89	40	bathroom	sun_aofnryafpsjimzsb.tif	1376881.005456	1376881.264045	1376882.004166	6.590120e-01	30	none	NaN	NaN
103	1	90	39	bathroom	sun_anryaplzeujmzfkd.tif	1376882.773877	1376883.032464	1376883.772734	6.840378e-01	29	none	NaN	NaN
103	1	91	43	bathroom	sun_apjevzvycyhuqghb.tif	1376884.542299	1376884.800879	1376885.541209	8.258505e-01	33	none	NaN	NaN
103	1	92	34	bathroom	sun_alkosphxlxwjwgjd.tif	1376886.310715	1376886.569297	1376887.309548	6.673539e-01	24	none	NaN	NaN
103	1	93	41	bathroom	sun_aoybiabnpadelefl.tif	1376888.079130	1376888.337717	1376889.077910	8.425343e-01	31	none	NaN	NaN
103	1	94	46	bathroom	sun_apmqjbnwghzuhhzh.tif	1376889.847547	1376890.106133	1376890.846334	6.756958e-01	36	none	NaN	NaN
103	1	95	57	bathroom	sun_axldvoqbuvuggfmq.tif	1376891.615963	1376891.874554	1376892.614737	8.508762e-01	47	none	NaN	NaN
103	1	96	31	bathroom	sun_akiytfaagpdsphgz.tif	1376893.384386	1376893.642973	1376894.383113	7.507732e-01	21	37	1376895.183825	1
103	1	97	37	bathroom	sun_amzlamotzwfkwjco.tif	1376895.961936	1376896.220525	1376896.960672	7.090635e-01	27	none	NaN	NaN
103	1	98	29	bathroom	sun_ahqjwnzgolcaoidx.tif	1376897.730353	1376897.988940	1376898.729044	7.674570e-01	19	none	NaN	NaN
103	1	99	52	bathroom	sun_aunuadmjocsddsrl.tif	1376899.498769	1376899.757360	1376900.497586	7.924828e-01	42	none	NaN	NaN
103	1	100	48	bathroom	sun_aqrpegblszgcoujh.tif	1376901.267189	1376901.525776	1376902.265973	6.673539e-01	38	none	NaN	NaN
103	2	1	62	kitchen	labelme_kxvouciolcpqplr.tif	1376943.842692	1376944.101280	1376944.791452	8.258505e-01	52	none	NaN	NaN
103	2	2	82	kitchen	sun_aenotlpyftoioydp.tif	1376945.561057	1376945.819644	1376946.509889	7.007216e-01	72	none	NaN	NaN
103	2	3	80	kitchen	sun_aegoxogugdkwpmpj.tif	1376947.279422	1376947.538016	1376948.228135	8.258505e-01	70	none	NaN	NaN
103	2	4	84	kitchen	sun_aexklacwqwezaorf.tif	1376948.997793	1376949.256387	1376949.946656	7.507732e-01	74	none	NaN	NaN
