subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
130	1	1	14	bathroom	sun_abapwbhyhkfixyex.tif	1336250.219551	1336250.478141	1336251.160034	6.923194e-01	4	none	NaN	NaN
130	1	2	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1336251.929575	1336252.188170	1336252.869862	7.173430e-01	1	none	NaN	NaN
130	1	3	16	bathroom	sun_acduarbnmmoglmiv.tif	1336253.639604	1336253.898200	1336254.579889	7.840726e-01	6	37	1336257.152421	1
130	1	4	21	bathroom	sun_aggnnqpdorgxpvce.tif	1336257.927188	1336258.185777	1336258.867524	8.257786e-01	11	none	NaN	NaN
130	1	5	23	bathroom	sun_aghyqhbptboemmoq.tif	1336259.645560	1336259.904150	1336260.586137	8.508022e-01	13	39	1336265.008658	1
130	1	6	38	bathroom	sun_anhioqovhscjqqwb.tif	1336265.784971	1336266.043559	1336266.725403	7.423666e-01	28	none	NaN	NaN
130	1	7	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	1336267.495003	1336267.753607	1336268.435260	8.090962e-01	14	none	NaN	NaN
130	1	8	15	bathroom	sun_abjtwfukuwddzted.tif	1336269.205026	1336269.463617	1336270.145311	6.506134e-01	5	none	NaN	NaN
130	1	9	44	bathroom	sun_apkruvsevgegsdwp.tif	1336270.915053	1336271.173644	1336271.855483	7.590490e-01	34	39	1336273.152277	1
130	1	10	48	bathroom	sun_aqrpegblszgcoujh.tif	1336273.926369	1336274.184956	1336274.866648	6.756370e-01	38	none	NaN	NaN
