subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
141	1	1	14	bathroom	sun_abapwbhyhkfixyex.tif	1943558.706811	1943558.965406	1943559.647076	6.920704e-01	4	none	NaN	NaN
141	1	2	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1943560.416840	1943560.675434	1943561.356909	7.170850e-01	1	none	NaN	NaN
141	1	3	16	bathroom	sun_acduarbnmmoglmiv.tif	1943562.118523	1943562.377115	1943563.058642	7.837906e-01	6	37	1943567.386598	1
141	1	4	21	bathroom	sun_aggnnqpdorgxpvce.tif	1943568.157845	1943568.416434	1943569.098165	8.254816e-01	11	none	NaN	NaN
141	1	5	23	bathroom	sun_aghyqhbptboemmoq.tif	1943569.867876	1943570.126461	1943570.808068	8.504962e-01	13	39	1943573.858537	1
141	1	6	38	bathroom	sun_anhioqovhscjqqwb.tif	1943574.630926	1943574.889512	1943575.571126	7.420996e-01	28	none	NaN	NaN
141	1	7	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	1943576.332611	1943576.591200	1943577.272762	8.088052e-01	14	none	NaN	NaN
141	1	8	15	bathroom	sun_abjtwfukuwddzted.tif	1943578.034294	1943578.292888	1943578.974495	6.503794e-01	5	none	NaN	NaN
141	1	9	44	bathroom	sun_apkruvsevgegsdwp.tif	1943579.735984	1943579.994566	1943580.676049	7.587760e-01	34	39	1943581.666599	1
141	1	10	48	bathroom	sun_aqrpegblszgcoujh.tif	1943582.438658	1943582.697248	1943583.378812	6.753940e-01	38	none	NaN	NaN
