subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
141	1	1	13	bathroom	sun_aavhrsfjbserjtht.tif	1943725.770192	1943726.028781	1943726.769092	7.506963e-01	3	none	NaN	NaN
141	1	2	49	bathroom	sun_asfwthctfqerjvxr.tif	1943727.538610	1943727.797200	1943728.537347	8.424481e-01	39	none	NaN	NaN
141	1	3	25	bathroom	sun_agyqfjcfkdcydepw.tif	1943729.307027	1943729.565620	1943730.305842	6.589445e-01	15	39	1943731.922521	1
141	1	4	38	bathroom	sun_anhioqovhscjqqwb.tif	1943732.702054	1943732.960645	1943733.700725	7.840606e-01	28	none	NaN	NaN
141	1	5	37	bathroom	sun_amzlamotzwfkwjco.tif	1943734.470477	1943734.729070	1943735.469238	7.173320e-01	27	none	NaN	NaN
141	1	6	16	bathroom	sun_acduarbnmmoglmiv.tif	1943736.238895	1943736.497485	1943737.237602	6.923088e-01	6	none	NaN	NaN
141	1	7	41	bathroom	sun_aoybiabnpadelefl.tif	1943737.998746	1943738.249041	1943738.997563	6.923088e-01	31	39	1943739.946501	1
141	1	8	55	bathroom	sun_avhrdrntsqrjzccq.tif	1943740.718333	1943740.976916	1943741.717092	6.923088e-01	45	none	NaN	NaN
141	1	9	60	bathroom	sun_azqyogdvyhahyram.tif	1943742.486754	1943742.745342	1943743.485406	7.423552e-01	50	37	1943744.410500	1
141	1	10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	1943745.189428	1943745.448024	1943746.188182	7.340142e-01	19	none	NaN	NaN
141	1	11	15	bathroom	sun_abjtwfukuwddzted.tif	1943746.957819	1943747.216438	1943747.956486	8.341070e-01	5	37	1943749.002400	1
141	1	12	39	bathroom	sun_anryaplzeujmzfkd.tif	1943749.777311	1943750.035895	1943750.775952	6.756267e-01	29	none	NaN	NaN
141	1	13	17	bathroom	sun_acegryoqftbzowsg.tif	1943751.545732	1943751.804322	1943752.544499	8.090838e-01	7	none	NaN	NaN
141	1	14	30	bathroom	sun_ajlawzvmubibwbpy.tif	1943753.314149	1943753.572739	1943754.312768	8.174249e-01	20	none	NaN	NaN
141	1	15	23	bathroom	sun_aghyqhbptboemmoq.tif	1943755.082564	1943755.341158	1943756.081361	7.840606e-01	13	none	NaN	NaN
141	1	16	53	bathroom	sun_ausgutylgojavyoq.tif	1943756.850987	1943757.109581	1943757.849808	7.506963e-01	43	none	NaN	NaN
141	1	17	59	bathroom	sun_axyrejkiiaqiurjk.tif	1943758.619403	1943758.877995	1943759.618047	7.423552e-01	49	none	NaN	NaN
141	1	18	58	bathroom	sun_axxbkopsgyouuebh.tif	1943760.387824	1943760.646409	1943761.386442	7.340142e-01	48	none	NaN	NaN
141	1	19	14	bathroom	sun_abapwbhyhkfixyex.tif	1943762.147903	1943762.406490	1943763.146725	7.089909e-01	4	none	NaN	NaN
141	1	20	33	bathroom	sun_aljolscmmzydegqp.tif	1943763.916320	1943764.174911	1943764.915014	6.923088e-01	23	none	NaN	NaN
141	1	21	46	bathroom	sun_apmqjbnwghzuhhzh.tif	1943765.684742	1943765.943331	1943766.683553	7.340142e-01	36	39	1943768.146529	1
141	1	22	18	bathroom	sun_acgyywnybuveqsro.tif	1943768.921278	1943769.179866	1943769.919952	6.756267e-01	8	none	NaN	NaN
141	1	23	19	bathroom	sun_aclfzgynxzxlbepz.tif	1943770.689699	1943770.948285	1943771.688422	7.757195e-01	9	none	NaN	NaN
141	1	24	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1943772.458113	1943772.716700	1943773.456844	6.672856e-01	1	39	1943774.362665	1
141	1	25	27	bathroom	sun_ahcvzmoyaycdoftf.tif	1943775.135767	1943775.394358	1943776.134392	8.257659e-01	17	none	NaN	NaN
141	1	26	21	bathroom	sun_aggnnqpdorgxpvce.tif	1943776.904190	1943777.162773	1943777.902890	7.590374e-01	11	none	NaN	NaN
141	1	27	42	bathroom	sun_apeeialkgkuxddgh.tif	1943778.672607	1943778.931196	1943779.671474	7.590374e-01	32	none	NaN	NaN
141	1	28	56	bathroom	sun_awnqiikzaispgmwo.tif	1943780.441027	1943780.699618	1943781.439758	8.174249e-01	46	none	NaN	NaN
141	1	29	44	bathroom	sun_apkruvsevgegsdwp.tif	1943782.209442	1943782.468035	1943783.208264	7.423552e-01	34	none	NaN	NaN
141	1	30	20	bathroom	sun_afcoljnjfoxjtgja.tif	1943783.977862	1943784.236452	1943784.976615	7.173320e-01	10	none	NaN	NaN
141	1	31	28	bathroom	sun_ahijqszoswveeyji.tif	1943785.746281	1943786.004869	1943786.744983	8.424481e-01	18	none	NaN	NaN
141	1	32	26	bathroom	sun_ahaulkltgpkeeemi.tif	1943787.514702	1943787.773296	1943788.513413	7.673784e-01	16	none	NaN	NaN
141	1	33	22	bathroom	sun_agguqiubmwhqqunb.tif	1943789.283121	1943789.541712	1943790.282779	6.923088e-01	12	none	NaN	NaN
141	1	34	47	bathroom	sun_apynckhmoftszqoq.tif	1943791.051538	1943791.310126	1943792.050297	7.590374e-01	37	none	NaN	NaN
141	1	35	45	bathroom	sun_apkxzenqapsujocq.tif	1943792.819959	1943793.078544	1943793.818592	8.174249e-01	35	none	NaN	NaN
141	1	36	34	bathroom	sun_alkosphxlxwjwgjd.tif	1943794.588373	1943794.846969	1943795.587183	8.341070e-01	24	none	NaN	NaN
141	1	37	12	bathroom	sun_aapitsgbtktqubfy.tif	1943796.356795	1943796.615382	1943797.355545	8.090838e-01	2	none	NaN	NaN
141	1	38	52	bathroom	sun_aunuadmjocsddsrl.tif	1943798.125216	1943798.383802	1943799.124034	7.089909e-01	42	none	NaN	NaN
141	1	39	50	bathroom	sun_aspsyogrekjtfozg.tif	1943799.893635	1943800.152221	1943800.892288	7.924016e-01	40	none	NaN	NaN
141	1	40	54	bathroom	sun_auzqhkafidnkrwmo.tif	1943801.662050	1943801.920644	1943802.660821	6.506035e-01	44	none	NaN	NaN
141	1	41	31	bathroom	sun_akiytfaagpdsphgz.tif	1943803.430467	1943803.689058	1943804.429133	6.589445e-01	21	39	1943805.266404	1
141	1	42	48	bathroom	sun_aqrpegblszgcoujh.tif	1943806.041387	1943806.299983	1943807.040161	8.090838e-01	38	none	NaN	NaN
141	1	43	35	bathroom	sun_alotolagknyrgtsk.tif	1943807.809811	1943808.068402	1943808.808601	8.007427e-01	25	none	NaN	NaN
141	1	44	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	1943809.578228	1943809.836817	1943810.576988	7.256731e-01	14	none	NaN	NaN
141	1	45	40	bathroom	sun_aofnryafpsjimzsb.tif	1943811.346646	1943811.605235	1943812.345375	7.840606e-01	30	none	NaN	NaN
141	1	46	36	bathroom	sun_ambriybtogmepttm.tif	1943813.115066	1943813.373617	1943814.113794	7.757195e-01	26	none	NaN	NaN
141	1	47	57	bathroom	sun_axldvoqbuvuggfmq.tif	1943814.883483	1943815.142076	1943815.882130	8.257659e-01	47	none	NaN	NaN
141	1	48	43	bathroom	sun_apjevzvycyhuqghb.tif	1943816.651902	1943816.910489	1943817.650708	6.506035e-01	33	none	NaN	NaN
141	1	49	32	bathroom	sun_aleqenyvunhactkl.tif	1943818.420325	1943818.678912	1943819.419067	7.006499e-01	22	none	NaN	NaN
141	1	50	51	bathroom	sun_atstyziqcmkahyxk.tif	1943820.188742	1943820.447330	1943821.187459	8.007427e-01	41	none	NaN	NaN
141	1	51	59	bathroom	sun_axyrejkiiaqiurjk.tif	1943821.957160	1943822.215753	1943822.955862	7.006499e-01	49	none	NaN	NaN
141	1	52	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1943823.725579	1943823.984168	1943824.724399	7.340142e-01	1	none	NaN	NaN
141	1	53	25	bathroom	sun_agyqfjcfkdcydepw.tif	1943825.493997	1943825.752587	1943826.492714	7.506963e-01	15	none	NaN	NaN
