subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
108	1	1	14	bathroom	sun_abapwbhyhkfixyex.tif	1716734.992579	1716735.251160	1716735.933074	6.923364e-01	4	none	NaN	NaN
108	1	2	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1716736.702605	1716736.961199	1716737.642910	7.173606e-01	1	none	NaN	NaN
108	1	3	16	bathroom	sun_acduarbnmmoglmiv.tif	1716738.412637	1716738.671230	1716739.352964	7.840918e-01	6	37	1716741.036279	1
108	1	4	21	bathroom	sun_aggnnqpdorgxpvce.tif	1716741.816013	1716742.074604	1716742.756515	8.257988e-01	11	none	NaN	NaN
108	1	5	23	bathroom	sun_aghyqhbptboemmoq.tif	1716743.526044	1716743.784637	1716744.466472	8.508230e-01	13	39	1716745.300044	1
108	1	6	38	bathroom	sun_anhioqovhscjqqwb.tif	1716746.078571	1716746.337161	1716747.018834	7.423848e-01	28	none	NaN	NaN
108	1	7	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	1716747.788601	1716748.047191	1716748.728871	8.091160e-01	14	none	NaN	NaN
108	1	8	15	bathroom	sun_abjtwfukuwddzted.tif	1716749.498634	1716749.757221	1716750.438972	6.506294e-01	5	none	NaN	NaN
108	1	9	44	bathroom	sun_apkruvsevgegsdwp.tif	1716751.208658	1716751.467248	1716752.149018	7.590676e-01	34	37	1716753.172096	0
108	1	10	48	bathroom	sun_aqrpegblszgcoujh.tif	1716753.944706	1716754.203296	1716754.885012	6.756536e-01	38	none	NaN	NaN
