subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
10000	1	1	14	bathroom	sun_abapwbhyhkfixyex.tif	1268659.465466	1268659.724049	1268660.405912	6.923561e-01	4	none	NaN	NaN
10000	1	2	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1268661.175486	1268661.434084	1268662.115849	7.173810e-01	1	none	NaN	NaN
10000	1	3	16	bathroom	sun_acduarbnmmoglmiv.tif	1268662.885519	1268663.144106	1268663.825854	7.841142e-01	6	37	1268666.447433	1
10000	1	4	21	bathroom	sun_aggnnqpdorgxpvce.tif	1268667.223150	1268667.481732	1268668.163466	8.258224e-01	11	none	NaN	NaN
10000	1	5	23	bathroom	sun_aghyqhbptboemmoq.tif	1268668.933166	1268669.191763	1268669.873596	8.508473e-01	13	39	1268671.695679	1
10000	1	6	38	bathroom	sun_anhioqovhscjqqwb.tif	1268672.470006	1268672.728595	1268673.410282	7.424060e-01	28	none	NaN	NaN
10000	1	7	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	1268674.180029	1268674.438615	1268675.120475	8.091391e-01	14	none	NaN	NaN
10000	1	8	15	bathroom	sun_abjtwfukuwddzted.tif	1268675.890057	1268676.148643	1268676.830426	6.506479e-01	5	none	NaN	NaN
10000	1	9	44	bathroom	sun_apkruvsevgegsdwp.tif	1268677.591756	1268677.841853	1268678.532178	7.590892e-01	34	39	1268679.967594	1
10000	1	10	48	bathroom	sun_aqrpegblszgcoujh.tif	1268680.744862	1268681.003447	1268681.685209	6.756728e-01	38	none	NaN	NaN
