subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp	Onsets	responseKey	responseTime	accuracy
28236419826		1	13	bathroom	sun_aavhrsfjbserjtht.tif	379921.217937	379921.462359	379922.205748		1.000000	379920.217937	none	NaN	NaN
28236419826		2	49	bathroom	sun_asfwthctfqerjvxr.tif	379922.962644	379923.207139	379923.950640	1	1.000000	379921.962644	none	NaN	NaN
28236419826		3	25	bathroom	sun_agyqfjcfkdcydepw.tif	379924.711732	379924.955980	379925.699561		1.000000	379923.711732	none	NaN	NaN
28236419826		4	38	bathroom	sun_anhioqovhscjqqwb.tif	379926.455705	379926.700223	379927.443291	&	1.000000	379925.455705	none	NaN	NaN
28236419826		5	37	bathroom	sun_amzlamotzwfkwjco.tif	379928.213619	379928.458380	379929.201437	%	1.000000	379927.213619	none	NaN	NaN
28236419826		6	16	bathroom	sun_acduarbnmmoglmiv.tif	379929.960207	379930.204557	379930.948087		1.000000	379928.960207	none	NaN	NaN
28236419826		7	41	bathroom	sun_aoybiabnpadelefl.tif	379931.703870	379931.947921	379932.691714	)	1.000000	379930.703870	37	379949.103088	0.000000
28236419826		8	55	bathroom	sun_avhrdrntsqrjzccq.tif	379950.136984	379950.381339	379951.124657	7	1.000000	379949.136984	39	379954.398954	1.000000
28236419826		9	60	bathroom	sun_azqyogdvyhahyram.tif	379955.185786	379955.429917	379956.173321	<	1.000000	379954.185786	39	379958.111552	0.000000
28236419826		10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	379958.898806	379959.142823	379959.886402		1.000000	379957.898806	none	NaN	NaN
28236419826		11	15	bathroom	sun_abjtwfukuwddzted.tif	379960.640916	379960.884997	379961.628732		1.000000	379959.640916	37	379962.734896	1.000000
28236419826		12	39	bathroom	sun_anryaplzeujmzfkd.tif	379963.522881	379963.767042	379964.510681	'	1.000000	379962.522881	none	NaN	NaN
28236419826		13	17	bathroom	sun_acegryoqftbzowsg.tif	379965.265414	379965.509409	379966.253356		1.000000	379964.265414	none	NaN	NaN
