subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp	Onsets	responseKey	responseTime	accuracy
3123411		1	13	bathroom	sun_aavhrsfjbserjtht.tif	378435.536808	378435.781959	378436.524619		1.000000	378434.536808	none	NaN	NaN
3123411		2	49	bathroom	sun_asfwthctfqerjvxr.tif	378437.284039	378437.529167	378438.272042	1	1.000000	378436.284039	none	NaN	NaN
3123411		3	25	bathroom	sun_agyqfjcfkdcydepw.tif	378439.030531	378439.275810	378440.018237		1.000000	378438.030531	none	NaN	NaN
3123411		4	38	bathroom	sun_anhioqovhscjqqwb.tif	378440.775711	378441.019897	378441.763447	&	1.000000	378439.775711	none	NaN	NaN
3123411		5	37	bathroom	sun_amzlamotzwfkwjco.tif	378442.530515	378442.774624	378443.518376	%	1.000000	378441.530515	none	NaN	NaN
3123411		6	16	bathroom	sun_acduarbnmmoglmiv.tif	378444.273383	378444.517637	378445.261170		1.000000	378443.273383	none	NaN	NaN
3123411		7	41	bathroom	sun_aoybiabnpadelefl.tif	378446.016160	378446.261106	378447.003744	)	1.000000	378445.016160	40	378451.887775	0.000000
3123411		8	55	bathroom	sun_avhrdrntsqrjzccq.tif	378452.673742	378452.917827	378453.661291	7	1.000000	378451.673742	37	378459.351733	0.000000
3123411		9	60	bathroom	sun_azqyogdvyhahyram.tif	378460.139392	378460.383747	378461.127242	<	1.000000	378459.139392	37	378464.287490	1.000000
3123411		10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	378465.074988	378465.319489	378466.062824		1.000000	378464.074988	none	NaN	NaN
3123411		11	15	bathroom	sun_abjtwfukuwddzted.tif	378466.817679	378467.061788	378467.805450		1.000000	378465.817679	39	378472.271482	0.000000
3123411		12	39	bathroom	sun_anryaplzeujmzfkd.tif	378473.058462	378473.302439	378474.046390	'	1.000000	378472.058462	none	NaN	NaN
3123411		13	17	bathroom	sun_acegryoqftbzowsg.tif	378474.811752	378475.056417	378475.799364		1.000000	378473.811752	none	NaN	NaN
3123411		14	30	bathroom	sun_ajlawzvmubibwbpy.tif	378476.554527	378476.798598	378477.542487		1.000000	378475.554527	none	NaN	NaN
