subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
 119	1	1	13	bathroom	sun_aavhrsfjbserjtht.tif	1359673.161116	1359673.419697	1359674.160296	7.509424e-01	3	none	NaN	NaN
 119	1	2	49	bathroom	sun_asfwthctfqerjvxr.tif	1359674.929530	1359675.188121	1359675.928486	8.427242e-01	39	none	NaN	NaN
 119	1	3	25	bathroom	sun_agyqfjcfkdcydepw.tif	1359676.697948	1359676.956538	1359677.696923	6.591605e-01	15	39	1359679.001865	1
 119	1	4	38	bathroom	sun_anhioqovhscjqqwb.tif	1359679.775991	1359680.034584	1359680.774915	7.843176e-01	28	none	NaN	NaN
 119	1	5	37	bathroom	sun_amzlamotzwfkwjco.tif	1359681.552755	1359681.811344	1359682.551669	7.175671e-01	27	none	NaN	NaN
 119	1	6	16	bathroom	sun_acduarbnmmoglmiv.tif	1359683.321170	1359683.579764	1359684.320231	6.925357e-01	6	none	NaN	NaN
 119	1	7	41	bathroom	sun_aoybiabnpadelefl.tif	1359685.089587	1359685.348175	1359686.088662	6.925357e-01	31	39	1359686.897840	1
 119	1	8	55	bathroom	sun_avhrdrntsqrjzccq.tif	1359687.675480	1359687.934072	1359688.674537	6.925357e-01	45	none	NaN	NaN
 119	1	9	60	bathroom	sun_azqyogdvyhahyram.tif	1359689.443898	1359689.702487	1359690.442818	7.425986e-01	50	37	1359691.369741	1
 119	1	10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	1359692.146572	1359692.405166	1359693.145438	7.342548e-01	19	none	NaN	NaN
 119	1	11	15	bathroom	sun_abjtwfukuwddzted.tif	1359693.914987	1359694.173584	1359694.914043	8.343804e-01	5	37	1359695.857780	1
 119	1	12	39	bathroom	sun_anryaplzeujmzfkd.tif	1359696.634348	1359696.892937	1359697.633299	6.758481e-01	29	none	NaN	NaN
 119	1	13	17	bathroom	sun_acegryoqftbzowsg.tif	1359698.402772	1359698.661359	1359699.401824	8.093490e-01	7	none	NaN	NaN
 119	1	14	30	bathroom	sun_ajlawzvmubibwbpy.tif	1359700.171188	1359700.429773	1359701.170148	8.176928e-01	20	none	NaN	NaN
 119	1	15	23	bathroom	sun_aghyqhbptboemmoq.tif	1359701.939603	1359702.198195	1359702.938524	7.843176e-01	13	none	NaN	NaN
 119	1	16	53	bathroom	sun_ausgutylgojavyoq.tif	1359703.708020	1359703.966611	1359704.707008	7.509424e-01	43	none	NaN	NaN
 119	1	17	59	bathroom	sun_axyrejkiiaqiurjk.tif	1359705.476439	1359705.735025	1359706.475437	7.425986e-01	49	none	NaN	NaN
 119	1	18	58	bathroom	sun_axxbkopsgyouuebh.tif	1359707.244858	1359707.503443	1359708.243796	7.342548e-01	48	none	NaN	NaN
 119	1	19	14	bathroom	sun_abapwbhyhkfixyex.tif	1359709.013272	1359709.271865	1359710.012266	7.092233e-01	4	none	NaN	NaN
 119	1	20	33	bathroom	sun_aljolscmmzydegqp.tif	1359710.781688	1359711.040281	1359711.780718	6.925357e-01	23	none	NaN	NaN
 119	1	21	46	bathroom	sun_apmqjbnwghzuhhzh.tif	1359712.550103	1359712.808690	1359713.549034	7.342548e-01	36	39	1359714.345822	1
 119	1	22	18	bathroom	sun_acgyywnybuveqsro.tif	1359715.119319	1359715.377902	1359716.118279	6.758481e-01	8	none	NaN	NaN
 119	1	23	19	bathroom	sun_aclfzgynxzxlbepz.tif	1359716.887739	1359717.146326	1359717.886609	7.759738e-01	9	none	NaN	NaN
 119	1	24	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	1359718.656149	1359718.914739	1359719.655038	6.675043e-01	1	39	1359720.441855	1
 119	1	25	27	bathroom	sun_ahcvzmoyaycdoftf.tif	1359721.217020	1359721.475609	1359722.215933	8.260366e-01	17	none	NaN	NaN
 119	1	26	21	bathroom	sun_aggnnqpdorgxpvce.tif	1359722.985436	1359723.244029	1359723.984309	7.592862e-01	11	none	NaN	NaN
 119	1	27	42	bathroom	sun_apeeialkgkuxddgh.tif	1359724.753855	1359725.012447	1359725.752817	7.592862e-01	32	none	NaN	NaN
 119	1	28	56	bathroom	sun_awnqiikzaispgmwo.tif	1359726.522270	1359726.780859	1359727.521212	8.176928e-01	46	none	NaN	NaN
