subject	block	trial	texture	category	image	trialOnset	itiOnset	trialEnd	iti	EEGtrigger	responseKey	responseTime	accuracy
124	1	1	13	bathroom	sun_aavhrsfjbserjtht.tif	408815.996402	408816.246714	408816.992920	7.506155e-01	3	none	NaN	NaN
124	1	2	49	bathroom	sun_asfwthctfqerjvxr.tif	408817.764496	408818.014667	408818.761136	8.506975e-01	39	none	NaN	NaN
124	1	3	25	bathroom	sun_agyqfjcfkdcydepw.tif	408819.532618	408819.782857	408820.529132	6.672138e-01	15	39	408821.684693	1
124	1	4	38	bathroom	sun_anhioqovhscjqqwb.tif	408822.485020	408822.735334	408823.481569	7.839762e-01	28	none	NaN	NaN
124	1	5	37	bathroom	sun_amzlamotzwfkwjco.tif	408824.253132	408824.503246	408825.249781	7.172548e-01	27	none	NaN	NaN
124	1	6	16	bathroom	sun_acduarbnmmoglmiv.tif	408826.021230	408826.271432	408827.017877	6.838941e-01	6	none	NaN	NaN
124	1	7	41	bathroom	sun_aoybiabnpadelefl.tif	408827.789329	408828.039444	408828.785815	7.005744e-01	31	39	408829.652678	1
124	1	8	55	bathroom	sun_avhrdrntsqrjzccq.tif	408830.441502	408830.691838	408831.438138	7.005744e-01	45	none	NaN	NaN
124	1	9	60	bathroom	sun_azqyogdvyhahyram.tif	408832.209582	408832.459721	408833.206169	7.339351e-01	50	37	408834.100823	1
124	1	10	29	bathroom	sun_ahqjwnzgolcaoidx.tif	408834.895103	408835.145213	408835.891566	7.339351e-01	19	none	NaN	NaN
124	1	11	15	bathroom	sun_abjtwfukuwddzted.tif	408836.663212	408836.913516	408837.659830	8.340172e-01	5	37	408838.644665	1
124	1	12	39	bathroom	sun_anryaplzeujmzfkd.tif	408839.448854	408839.715650	408840.445362	6.838941e-01	29	none	NaN	NaN
124	1	13	17	bathroom	sun_acegryoqftbzowsg.tif	408841.216919	408841.467156	408842.213580	8.006565e-01	7	none	NaN	NaN
124	1	14	30	bathroom	sun_ajlawzvmubibwbpy.tif	408842.985018	408843.235337	408843.981660	8.173369e-01	20	none	NaN	NaN
124	1	15	23	bathroom	sun_aghyqhbptboemmoq.tif	408844.753126	408845.003425	408845.749671	7.839762e-01	13	none	NaN	NaN
124	1	16	53	bathroom	sun_ausgutylgojavyoq.tif	408846.521225	408846.771417	408847.517768	7.506155e-01	43	none	NaN	NaN
124	1	17	59	bathroom	sun_axyrejkiiaqiurjk.tif	408848.289351	408848.539678	408849.285976	7.339351e-01	49	none	NaN	NaN
124	1	18	58	bathroom	sun_axxbkopsgyouuebh.tif	408850.057483	408850.307601	408851.054044	7.339351e-01	48	none	NaN	NaN
124	1	19	14	bathroom	sun_abapwbhyhkfixyex.tif	408851.825537	408852.075184	408852.821995	7.005744e-01	4	none	NaN	NaN
124	1	20	33	bathroom	sun_aljolscmmzydegqp.tif	408853.593642	408853.843905	408854.590267	6.838941e-01	23	none	NaN	NaN
124	1	21	46	bathroom	sun_apmqjbnwghzuhhzh.tif	408855.361747	408855.612048	408856.358248	7.339351e-01	36	39	408857.540490	1
124	1	22	18	bathroom	sun_acgyywnybuveqsro.tif	408858.330826	408858.580981	408859.327382	6.672138e-01	8	none	NaN	NaN
124	1	23	19	bathroom	sun_aclfzgynxzxlbepz.tif	408860.098926	408860.349186	408861.095398	7.839762e-01	9	none	NaN	NaN
